NDC2_S2S,Industrial Emissions,101,73,75,82,96,102,114,124,139
NDC2_S2S,Residential Emissions,36,35,29,24,21,20,19,17,13
NDC2_S2S,Supply Sector Emissions,73,37,39,38,41,43,49,54,60
NDC2_S2S,Transport Emissions,21,18,21,20,16,13,13,12,14
NDC2_S3E,Agriculture Emissions,6,6,5,5,4,3,3,2,0
NDC2_S3E,Commercial Emissions,8,8,8,6,3,3,2,2,1
NDC2_S3E,ELC and Heat Emissions,105,70,46,43,30,22,16,2,0
NDC2_S3E,Industrial Emissions,101,73,75,82,94,93,87,74,40
NDC2_S3E,Residential Emissions,36,35,29,24,22,20,19,15,0
NDC2_S3E,Supply Sector Emissions,73,37,38,38,42,39,34,26,18
NDC2_S3E,Transport Emissions,21,18,21,20,17,13,9,5,0
NDC2_S3F,Agriculture Emissions,6,6,5,5,4,3,3,2,0
NDC2_S3F,Commercial Emissions,8,8,8,6,3,3,2,2,1
NDC2_S3F,ELC and Heat Emissions,105,70,46,43,29,22,16,1,0
NDC2_S3F,Industrial Emissions,101,73,75,81,95,93,86,75,40
NDC2_S3F,Residential Emissions,36,35,28,24,22,20,19,15,0
NDC2_S3F,Supply Sector Emissions,73,37,38,38,42,39,33,26,18
NDC2_S3F,Transport Emissions,21,18,21,20,17,13,9,5,0
NDC2_S3G,Agriculture Emissions,6,6,5,5,4,3,3,2,0
NDC2_S3G,Commercial Emissions,8,8,8,6,3,3,2,2,1
NDC2_S3G,ELC and Heat Emissions,105,70,46,43,29,22,17,1,0
NDC2_S3G,Industrial Emissions,101,73,75,82,96,93,86,75,40
NDC2_S3G,Residential Emissions,36,35,28,24,22,20,19,14,0
NDC2_S3G,Supply Sector Emissions,73,37,38,38,43,39,34,26,18
NDC2_S3G,Transport Emissions,21,18,21,20,16,13,9,5,0
UGD_NewPolicy,Agriculture Emissions,6,6,5,5,4,3,3,3,0
UGD_NewPolicy,Commercial Emissions,8,8,8,6,3,3,2,2,1
UGD_NewPolicy,ELC and Heat Emissions,105,70,46,42,40,34,21,4,0
UGD_NewPolicy,Industrial Emissions,101,73,76,82,86,84,78,77,67
UGD_NewPolicy,Residential Emissions,36,35,28,24,21,19,18,15,7
UGD_NewPolicy,Supply Sector Emissions,73,37,38,38,40,38,35,29,26
UGD_NewPolicy,Transport Emissions,21,18,21,20,17,13,13,12,12
